rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
16/04/2021 17:06,2020,1,1,London Area Airports,GATWICK,79489,54146,15440,6219,3215,388,81
16/04/2021 17:06,2020,1,1,London Area Airports,HEATHROW,207021,105429,39291,51676,4168,1375,5082
16/04/2021 17:06,2020,1,1,London Area Airports,LONDON CITY,19554,12268,6103,1124,2,57,0
16/04/2021 17:06,2020,1,1,London Area Airports,LUTON,49251,25571,22557,991,101,27,4
16/04/2021 17:06,2020,1,1,London Area Airports,SOUTHEND,4892,2427,2431,34,0,0,0
16/04/2021 17:06,2020,1,1,London Area Airports,STANSTED,74417,9544,51934,10114,2509,141,175
16/04/2021 17:06,2020,1,3,Other UK Airports,ABERDEEN,47430,11286,3781,1567,30756,28,12
16/04/2021 17:06,2020,1,3,Other UK Airports,BARRA,1047,1047,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),10095,6739,3334,1,12,8,1
16/04/2021 17:06,2020,1,3,Other UK Airports,BELFAST INTERNATIONAL,19416,15945,3234,10,127,81,19
16/04/2021 17:06,2020,1,3,Other UK Airports,BENBECULA,1299,1299,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,BIGGIN HILL,277,0,0,0,42,235,0
16/04/2021 17:06,2020,1,3,Other UK Airports,BIRMINGHAM,31968,11248,15402,3555,1383,244,136
16/04/2021 17:06,2020,1,3,Other UK Airports,BLACKPOOL,3000,0,0,0,3000,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,BOURNEMOUTH,1964,256,1420,78,207,3,0
16/04/2021 17:06,2020,1,3,Other UK Airports,BRISTOL,21661,12694,7794,2,1076,95,0
16/04/2021 17:06,2020,1,3,Other UK Airports,CAMPBELTOWN,992,992,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,CARDIFF WALES,3258,1459,1113,120,483,77,6
16/04/2021 17:06,2020,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),1698,1246,450,0,2,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,DONCASTER SHEFFIELD,2792,101,1866,159,471,40,155
16/04/2021 17:06,2020,1,3,Other UK Airports,DUNDEE,730,704,0,0,8,18,0
16/04/2021 17:06,2020,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,35272,7624,22218,1955,561,1859,1055
16/04/2021 17:06,2020,1,3,Other UK Airports,EDINBURGH,43634,25064,16641,1449,324,146,10
16/04/2021 17:06,2020,1,3,Other UK Airports,EXETER,3161,2029,374,0,753,5,0
16/04/2021 17:06,2020,1,3,Other UK Airports,GLASGOW,26702,20628,4245,1289,421,67,52
16/04/2021 17:06,2020,1,3,Other UK Airports,GLOUCESTERSHIRE,1,0,0,0,0,0,1
16/04/2021 17:06,2020,1,3,Other UK Airports,HUMBERSIDE,3067,798,649,0,1598,13,9
16/04/2021 17:06,2020,1,3,Other UK Airports,INVERNESS,4620,3818,344,0,415,43,0
16/04/2021 17:06,2020,1,3,Other UK Airports,ISLAY,1192,1192,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),5345,5345,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,KIRKWALL,7452,7348,0,0,104,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,LANDS END (ST JUST),4196,4196,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,LEEDS BRADFORD,8123,4269,3835,0,13,6,0
16/04/2021 17:06,2020,1,3,Other UK Airports,LERWICK (TINGWALL),481,481,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),13676,7154,6207,72,133,91,19
16/04/2021 17:06,2020,1,3,Other UK Airports,MANCHESTER,63022,26028,26128,7735,2613,317,201
16/04/2021 17:06,2020,1,3,Other UK Airports,NEWCASTLE,12305,8040,3724,168,51,5,317
16/04/2021 17:06,2020,1,3,Other UK Airports,NEWQUAY,1542,1264,276,0,1,1,0
16/04/2021 17:06,2020,1,3,Other UK Airports,NORWICH,10284,1206,757,0,7422,899,0
16/04/2021 17:06,2020,1,3,Other UK Airports,OXFORD (KIDLINGTON),8,8,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,PRESTWICK,2000,0,1855,0,63,63,19
16/04/2021 17:06,2020,1,3,Other UK Airports,SCATSTA,1695,0,0,0,1695,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,SOUTHAMPTON,9066,8876,97,55,35,3,0
16/04/2021 17:06,2020,1,3,Other UK Airports,STORNOWAY,2688,2683,0,0,3,2,0
16/04/2021 17:06,2020,1,3,Other UK Airports,SUMBURGH,6633,3006,0,0,3624,1,2
16/04/2021 17:06,2020,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,2044,1490,527,0,27,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,TIREE,1069,1069,0,0,0,0,0
16/04/2021 17:06,2020,1,3,Other UK Airports,WICK JOHN O GROATS,257,256,0,0,1,0,0
16/04/2021 17:06,2020,2,4,Non UK Reporting Airports,ALDERNEY,2468,2468,0,0,0,0,0
16/04/2021 17:06,2020,2,4,Non UK Reporting Airports,GUERNSEY,8624,6755,0,0,1046,823,0
16/04/2021 17:06,2020,2,4,Non UK Reporting Airports,ISLE OF MAN,4832,3958,252,0,111,511,0
16/04/2021 17:06,2020,2,4,Non UK Reporting Airports,JERSEY,7697,7368,26,0,7,296,0

