rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_fixed_wing_this_period,total_pax_fixed_wing_last_period,total_pax_fixed_wing_percent_change,total_pax_rotary_wing_this_period,total_pax_rotary_wing_last_period,total_pax_rotary_wing_percent_change,total_atms_fixed_wing_this_period,total_atms_fixed_wing_last_period,total_atms_fixed_wing_percent_change,total_atms_rotary_wing_this_period,total_atms_rotary_wing_last_period,total_atms_rotary_wing_percent_change
4/20/2018 1:57:54 PM,201802,201702,London Area Airports,GATWICK,2980212,2959925,0.685388988,0,0,Null,19003,19074,-0.372234455,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,London Area Airports,HEATHROW,5393756,5268516,2.377139976,0,0,Null,35694,34869,2.365998451,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,London Area Airports,LONDON CITY,329634,339953,-3.035419602,0,0,Null,6106,6310,-3.232963550,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,London Area Airports,LUTON,1053462,1060656,-0.678259492,0,0,Null,6873,7311,-5.990972507,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,London Area Airports,SOUTHEND,79015,60656,30.267409654,0,0,Null,980,608,61.184210526,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,London Area Airports,STANSTED,1731648,1652242,4.805954576,0,0,Null,11952,11416,4.695164681,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Non UK Reporting Airports,ALDERNEY,2820,2793,0.966702470,0,0,Null,321,357,-10.084033613,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Non UK Reporting Airports,GUERNSEY,51628,51658,-0.058074258,0,0,Null,1473,1631,-9.687308400,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Non UK Reporting Airports,ISLE OF MAN,58379,59448,-1.798210201,0,0,Null,1069,1333,-19.804951238,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Non UK Reporting Airports,JERSEY,97626,91998,6.117524294,0,0,Null,1594,1546,3.104786546,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,ABERDEEN,192291,183656,4.701724964,21734,24829,-12.465262395,4645,4098,13.347974622,1671,1822,-8.287596048
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BARRA,959,1090,-12.018348624,0,0,Null,106,102,3.921568627,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BELFAST CITY (GEORGE BEST),174220,173253,0.558143293,0,0,Null,2652,2697,-1.668520578,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BELFAST INTERNATIONAL,382676,401496,-4.687468866,0,0,Null,2894,2850,1.543859649,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BENBECULA,2279,2322,-1.851851852,0,0,Null,140,130,7.692307692,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BIGGIN HILL,204,55,270.909090909,0,0,Null,19,13,46.153846154,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BIRMINGHAM,764901,809239,-5.478974691,0,0,Null,6982,7382,-5.418585749,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BLACKPOOL,0,888,Null,1809,1498,20.761014686,0,75,Null,407,368,10.597826087
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BOURNEMOUTH,31771,33564,-5.342033131,0,0,Null,201,225,-10.666666667,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,BRISTOL,517633,490003,5.638740987,0,0,Null,4246,4126,2.908385846,0,0,Null
4/20/2018 1:57:54 PM,201802,201702,Other UK Airports,CAMPBELTOWN,474,500,-5.200000000,0,0,Null,80,80,0.000000000,0,0,Null
