rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_pax,pax_terminal_scheduled_UK,pax_transit_scheduled_UK,pax_terminal_scheduled_foreign_EU,pax_transit_scheduled_foreign_EU,pax_terminal_scheduled_foreign_non_EU,pax_transit_scheduled_foreign_non_EU,pax_terminal_charter_UK,pax_transit_charter_UK,pax_terminal_charter_foreign_EU,pax_transit_charter_foreign_EU,pax_terminal_charter_foreign_non_EU,pax_transit_charter_foreign_non_EU
14/06/2018 10:53,201802,Other UK Airports,ABERDEEN,214025,116467,0,50632,0,8839,0,36256,0,1831,0,0,0
14/06/2018 10:53,201802,Non UK Reporting Airports,ALDERNEY,2820,2820,0,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BARRA,959,959,0,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BELFAST CITY (GEORGE BEST),174220,149384,128,23734,0,345,0,629,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BELFAST INTERNATIONAL,382676,332518,0,38394,0,0,0,11411,0,353,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BENBECULA,2279,2279,0,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BIGGIN HILL,204,0,0,0,0,0,0,124,0,80,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BIRMINGHAM,764901,272737,20,316379,0,120545,0,52291,0,2929,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BLACKPOOL,1809,0,0,0,0,0,0,1809,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BOURNEMOUTH,31771,3777,0,15092,0,3002,0,9137,0,763,0,0,0
14/06/2018 10:53,201802,Other UK Airports,BRISTOL,517633,353029,0,131692,0,0,0,24606,432,7874,0,0,0
14/06/2018 10:53,201802,Other UK Airports,CAMPBELTOWN,474,474,0,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,CARDIFF WALES,78020,40963,0,21003,0,0,0,14395,0,1659,0,0,0
14/06/2018 10:53,201802,Other UK Airports,CITY OF DERRY (EGLINTON),14977,3654,0,11323,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,DONCASTER SHEFFIELD,61392,10362,0,34538,0,5,0,16180,0,292,0,15,0
14/06/2018 10:53,201802,Other UK Airports,DUNDEE,1402,1398,0,0,0,0,0,0,0,4,0,0,0
14/06/2018 10:53,201802,Other UK Airports,DURHAM TEES VALLEY,10596,2473,137,7986,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,EAST MIDLANDS INTERNATIONAL,216547,88796,0,107851,0,0,0,19708,0,192,0,0,0
14/06/2018 10:53,201802,Other UK Airports,EDINBURGH,844685,533982,0,258547,0,32076,138,10080,0,9862,0,0,0
14/06/2018 10:53,201802,Other UK Airports,EXETER,55385,44746,0,0,0,0,0,10571,0,68,0,0,0
14/06/2018 10:53,201802,London Area Airports,GATWICK,2980212,1921709,0,539430,0,340026,0,148098,43,28846,44,1763,253
14/06/2018 10:53,201802,Other UK Airports,GLASGOW,567221,331765,182,126429,0,92769,176,15536,0,248,0,116,0
14/06/2018 10:53,201802,Non UK Reporting Airports,GUERNSEY,51628,48815,2549,0,0,0,0,262,0,2,0,0,0
14/06/2018 10:53,201802,London Area Airports,HEATHROW,5348199,2812050,0,792079,0,1737400,2227,3592,0,744,0,107,0
14/06/2018 10:53,201802,Other UK Airports,HUMBERSIDE,12295,1580,13,9055,0,0,0,1257,0,322,68,0,0
14/06/2018 10:53,201802,Other UK Airports,INVERNESS,51602,48539,0,3063,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,ISLAY,1820,1795,25,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Non UK Reporting Airports,ISLE OF MAN,58379,54618,0,3243,0,0,0,518,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3291,3291,0,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Non UK Reporting Airports,JERSEY,97626,95262,958,1186,0,0,0,0,0,220,0,0,0
14/06/2018 10:53,201802,Other UK Airports,KIRKWALL,11735,11012,723,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,LANDS END (ST JUST),2853,2797,56,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,LEEDS BRADFORD,198161,107023,226,89226,0,0,0,1077,0,609,0,0,0
14/06/2018 10:53,201802,Other UK Airports,LERWICK (TINGWALL),221,221,0,0,0,0,0,0,0,0,0,0,0
14/06/2018 10:53,201802,Other UK Airports,LIVERPOOL (JOHN LENNON),335362,179828,332,154031,0,0,0,664,0,507,0,0,0
14/06/2018 10:53,201802,London Area Airports,LONDON CITY,329634,207422,0,91239,0,30973,0,0,0,0,0,0,0
14/06/2018 10:53,201802,London Area Airports,LUTON,1053462,493313,0,543542,361,4362,0,9830,0,2054,0,0,0
